Id,Title,ContractNumber,TruncContractNumber,OpenDate,openDateTime,DeadlineDate,deadlineDateTime,DeadlineTime,AwardedDate,AgencyCode,AgencyId,DisplayWeb,DeldotEntry,ContactEmail,UnspscCode,ContractMessage,unspscs,selectedUnspscIds,Awarded,NonAwardReason,bidUnspscCodes,BidUnspscCodesString,solicitationTypeId,solicitationTypeList
8292,DUI Education and Treatment,HSS25003-DUIET,,2024-09-06,,2024-11-01,,,,HSS,0,,False,latonya.norris1@delaware.gov,,,,,,,,8512,,
8290,Legislative Hall Window Replacement,OMB-MJ1002000056A,,2024-09-06,,2024-10-10,,,,OMB,0,,False,patrick.mckenna@delaware.gov,,,,,,,,7214,,
8291,Pre-Apprenticeship,LAB24RPRAP-001,,2024-09-06,,2024-10-10,,,,LAB,0,,False,DOL_DET_Contracts@Delaware.gov,,,,,,,,6413,,
8293,Customs House Renovation and Addition,OMB-MJ0217000003-BP3,,2024-09-06,,2024-10-08,,,,OMB,0,,False,chip.lieber@delaware.gov,,,,,,,,7215,,
8294,Construction Management and Design Related Services,PSD2401-CMDESIGN,,2024-09-06,,2024-09-20,,,,PSD,0,,False,Nicholas.johnson@polytech.k12.de.us,,,,,,,,"7200,8110",,
8289,Kent County Fire Marshal's Office HVAC Replacement,OMB-MC1002000074,,2024-09-05,,2024-10-08,,,,OMB,0,,False,Robbie.Mullin@delaware.gov,,,,,,,,7215,,
8295,Products & Supplies for Correctional Facilities and Incarcerated Individuals,GSS24939-NMATE_PROD,,2024-09-03,,2024-10-21,,,,GSS,0,,False,mspeakman@mmo.sc.gov,,,,,,,,"4213,4219,4920,5212,5310,5313,5610",,
8285,Athletic Charter Bus Transportation,DSU240809-CHARTERBUS,,2024-09-03,,2024-10-10,,,,DSU,0,,False,zchaudhry@desu.edu,,,,,,,,7811,,
8270,Partners in Policy Making Program Planning and Coordination,GSS25827-PARTNERS,,2024-09-03,,2024-10-09,,,,GSS,0,,False,Danielle.Davis@delaware.gov,,,,,,,,8014,,
8288,Early Childhood Innovation Center (ECIC),DSU23PC22007-NEW ECIC,,2024-09-03,,2024-10-03,,,,DSU,0,,False,KZerrad@desu.edu,,,,,,,,7212,,
8287,Actuary,LAB24103-ACT,,2024-09-03,,2024-09-19,,,,LAB,0,,False,Tammy.Boyd@delaware.gov,,,,,,,,"8000,8010",,
8284,Central Nonprofit Agencies,GSS24763A-CNA,,2024-09-01,,2024-10-31,,,,GSS,0,,False,courtney.strickland@delaware.gov,,,,,,,,"8017,9314",,
8271,SNAP - Employment & Training Program Services,HSS24053-SNAP-E&T,,2024-08-29,,2024-10-04,,,,HSS,0,,False,shane.cannon@delaware.gov,,,,,,,,9314,,
8283,Kent County Fire Marshal's Office Window/Door Replacement,OMB-MC1002000823,,2024-08-29,,2024-10-03,,,,OMB,0,,False,Robbie.Mullin@delaware.gov,,,,,,,,7215,,
8286,DOVER BUS CANOPY SOLAR PANELS - READVERTISEMENT,T202153104.02,,2024-08-28,,2024-10-01,,,,DOT,0,,False,DOT-ask@delaware.gov,,,,,,,,7214,,
8282,LMI Solar Contractors - Supplemental,NAT24002A-SOLAR_CONT,,2024-08-28,,2024-09-11,,,,NAT,0,,False,DNREC.EnergyPrograms@delaware.gov,,,,,,,,7211,,
8279,JTVCC-New Sallyport and Intake Facility,OMB-MJ3804000087A,,2024-08-27,,2024-10-03,,,,OMB,0,,False,joseph.seely@delaware.gov,,,,,,,,7215,,
8273,BLDG 2900 HVAC Renovations,DNG24JLWS20212-BLDG2900HVAC,,2024-08-26,,2024-10-02,,,,DNG,0,,False,terri.s.mccall.nfg@army.mil,,,,,,,,7215,,
8226,Sussex County Vocational School Bid Pac B,SUS240002-STHS_BPB,,2024-08-23,,2024-10-02,,,,SUS,0,,False,Hud.Athey@sussexvt.k12.de.us,,,,,,,,7212,,
8281,BR 1-488N&S ON N001 US13 OVER BLACKBIRD CREEK,T200707404,,2024-08-23,,2024-09-24,,,,DOT,0,,False,DOT-ask@delaware.gov,,,,,,,,7214,,
8274,1401 Fence Gates Parking Lot,ARNG2321-1401FENCEG,,2024-08-22,,2024-09-25,,,,ARNG,0,,False,brittney.m.poore.mil@army.mil,,,,,,,,7210,,
8268,Conrad Hall Kitchen HVAC Upgrades,DSU24PC23018-CONRADHVAC,,2024-08-21,,2024-10-04,,,,DSU,0,,False,KZerrad@desu.edu,,,,,,,,7215,,
8269,Investment Advisory and Consulting Services,TRE24101-INVESTMENT,,2024-08-21,,2024-10-03,,,,TRE,0,,False,Treasury_RFP@delaware.gov,,,,,,,,8010,,
8267,School Buses,DOE25001-BUSES,,2024-08-21,,2024-09-23,,,,DOE,0,,False,erika.martine-duquette@doe.k12.de.us,,,,,,,,2510,,
8278,Secured Document and Data Destruction,GSS24608-DOC_DESTRUCT,,2024-08-21,,2024-09-18,,,,GSS,0,,False,Jeremiah.Alston@delaware.gov,,,,,,,,8016,,
8272,Micrographic and Conversion Services,GSS24462-MICRO_CONV,,2024-08-21,,2024-09-11,,,,GSS,0,,False,Rhonda.Figueroa@delaware.gov,,,,,,,,"4511,8111,8213",,
8261,New Castle County Fire Marshal's Office HVAC Replacement,OMB-MC1002000829,,2024-08-19,,2024-09-24,,,,OMB,0,,False,jim.fox@delaware.gov,,,,,,,,7215,,
8265,Facilities MRO and Supplies,GSS24577-MRO,,2024-08-19,,2024-09-18,,,,GSS,0,,False,Danielle.Davis@delaware.gov,,,,,,,,"2330,2711,3018,3116,3121,3912,3913,4014",,
8276,Sussex County Court of Chancery Roof Replacement,OMB-MC1002000821,,2024-08-16,,2024-10-03,,,,OMB,0,,False,joseph.seely@delaware.gov,,,,,,,,7215,,
8277,ELKTON ROAD LANDSCAPING,T202204401,,2024-08-16,,2024-09-17,,,,DOT,0,,False,DOT-ask@delaware.gov,,,,,,,,7214,,
8242,Shoreline Management Sand Fence,NAT25310-SAND_FENCE,,2024-08-16,,2024-09-16,,,,NAT,0,,False,Kathleen.Bergin@delaware.gov,,,,,,,,"2012,7017,7710",,
8264,"Marketing, Public Relation Services, Advertising, and Media Buying",GSS25638-MARKET_ADV,,2024-08-15,,2024-10-02,,,,GSS,0,,False,necia.beck@delaware.gov,,,,,,,,"8014,8017,8210",,
8275,CST Garage Expansion,ARNG2325-CSTGARAGE,,2024-08-15,,2024-09-25,,,,ARNG,0,,False,brittney.m.poore.mil@army.mil,,,,,,,,7212,,
8249,Portable Toilets – Rental and Servicing,GSS24165-PORT_TOILET,,2024-08-15,,2024-09-12,,,,GSS,0,,False,brittany.n.tribbitt@delaware.gov,,,,,,,,8013,,
8260,Appraisal Services,GSS24910-APPR_SVC,,2024-08-15,,2024-09-11,,,,GSS,0,,False,brittany.n.tribbitt@delaware.gov,,,,,,,,8013,,
8257,Fuel Management,GSS24157-FUEL_MGMT,,2024-08-13,,2024-09-19,,,,GSS,0,,False,dennis.smith@delaware.gov,,,,,,,,"8000,8016,8111",,
8256,Asbestos Management Services,DOT242150-ASBESTOS_M,,2024-08-13,,2024-09-12,,,,DOT,0,,False,DOT.profservices@delaware.gov,,,,,,,,8110,,
8258,PASRR Web Based System and Services,HSS24052-PASRR,,2024-08-12,,2024-10-21,,,,HSS,0,,False,mary.marinari@delaware.gov,,,,,,,,8111,,
8259,Holloway Campus Gatehouse Replacement,OMB-MC3501000107A,,2024-08-12,,2024-09-23,,,,OMB,0,,False,jim.fox@delaware.gov,,,,,,,,7214,,
8255,Delaware Public Archives Lower Level Renovations,OMB-MC1002000712,,2024-08-09,,2024-09-12,,,,OMB,0,,False,joseph.seely@delaware.gov,,,,,,,,7215,,
8254,Sussex County Family Court Building Roof Replacement,OMB-MC1002000595E,,2024-08-07,,2024-09-26,,,,OMB,0,,False,joseph.seely@delaware.gov,,,,,,,,7215,,
8253,Townsend Building Generator and Switchgear Replacement,OMB-MC1002000819,,2024-08-07,,2024-09-19,,,,OMB,0,,False,joseph.seely@delaware.gov,,,,,,,,7215,,
8245,Sustainable Resilient Remediation Strategy,NAT24001-REM_STRAT,,2024-08-05,,2024-09-16,,,,NAT,0,,False,kristen.thornton@delaware.gov,,,,,,,,7016,,
8241,Tatnall Building Roof Replacement,OMB-MC1002000815,,2024-08-05,,2024-09-12,,,,OMB,0,,False,Robbie.Mullin@delaware.gov,,,,,,,,7214,,
8240,Kent County Courthouse Controls System Replacement,OMB-MC1002000769B,,2024-08-05,,2024-09-11,,,,OMB,0,,False,patrick.mckenna@delaware.gov,,,,,,,,7214,,
8232,Dog Licensing Services,HSS24041-DOGLICENSE,,2024-07-30,,2024-09-17,,,,HSS,0,,False,william.ingram@delaware.gov,,,,,,,,7012,,
